TIMESTAMPms	M1SYSSTATUScurrentbattery	M1SYSSTATUSvoltagebattery
2955	1.500000000000000e+3	1.460300000000000e+4
4587	1.497000000000000e+3	1.462000000000000e+4
6207	1.497000000000000e+3	1.459700000000000e+4
7836	1.484000000000000e+3	1.459900000000000e+4
9435	1.477000000000000e+3	1.459400000000000e+4
11047	1.495000000000000e+3	1.458900000000000e+4
12671	1.477000000000000e+3	1.454800000000000e+4
14296	1.465000000000000e+3	1.454500000000000e+4
15911	1.499000000000000e+3	1.456200000000000e+4
17524	1.485000000000000e+3	1.457800000000000e+4
19045	1.477000000000000e+3	1.455600000000000e+4
20756	1.484000000000000e+3	1.452300000000000e+4
22254	1.480000000000000e+3	1.454900000000000e+4
23880	1.477000000000000e+3	1.456300000000000e+4
25493	1.473000000000000e+3	1.454700000000000e+4
27146	1.479000000000000e+3	1.452900000000000e+4
28738	1.489000000000000e+3	1.454500000000000e+4
30363	1.468000000000000e+3	1.454000000000000e+4
31967	1.458000000000000e+3	1.451300000000000e+4
33586	1.463000000000000e+3	1.453000000000000e+4
35209	1.467000000000000e+3	1.452900000000000e+4
36825	1.466000000000000e+3	1.451600000000000e+4
38441	1.467000000000000e+3	1.452300000000000e+4
40057	1.464000000000000e+3	1.450500000000000e+4
41673	1.474000000000000e+3	1.452200000000000e+4
43295	1.459000000000000e+3	1.448500000000000e+4
