TIMESTAMPms	M1SYSSTATUScurrentbattery	M1SYSSTATUSvoltagebattery
3114	8.140000000000000e+2	1.141800000000000e+4
4723	8.360000000000000e+2	1.140800000000000e+4
6340	8.200000000000000e+2	1.141100000000000e+4
7962	8.390000000000000e+2	1.138200000000000e+4
9584	8.430000000000000e+2	1.134800000000000e+4
11206	8.320000000000000e+2	1.139200000000000e+4
12820	8.370000000000000e+2	1.137000000000000e+4
14450	8.210000000000000e+2	1.136800000000000e+4
16067	8.250000000000000e+2	1.140100000000000e+4
17675	8.180000000000000e+2	1.135900000000000e+4
19300	7.960000000000000e+2	1.130600000000000e+4
20909	8.050000000000000e+2	1.129600000000000e+4
22538	8.230000000000000e+2	1.135700000000000e+4
24148	8.430000000000000e+2	1.139600000000000e+4
25638	8.340000000000000e+2	1.140900000000000e+4
27268	8.380000000000000e+2	1.141300000000000e+4
28892	8.580000000000000e+2	1.140600000000000e+4
30493	8.220000000000000e+2	1.141400000000000e+4
32147	7.940000000000000e+2	1.135300000000000e+4
33766	8.190000000000000e+2	1.139100000000000e+4
35408	8.210000000000000e+2	1.140400000000000e+4
36996	8.330000000000000e+2	1.141400000000000e+4
38588	8.170000000000000e+2	1.136500000000000e+4
40237	8.400000000000000e+2	1.137400000000000e+4
41830	8.320000000000000e+2	1.140500000000000e+4
43445	8.120000000000000e+2	1.137600000000000e+4
45071	8.050000000000000e+2	1.138100000000000e+4
46712	8.140000000000000e+2	1.140700000000000e+4
